Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2016-06-06,51.99,52.35,51.89,52.13,18243271.0,0.0,1.0,49.76373609610306,50.10832053531439,49.66801819632213,49.89774115579635,18243271.0
2016-06-07,52.24,52.73,52.1,52.1,20866770.0,0.0,1.0,50.00303084555537,50.4720485544819,49.86902578586208,49.86902578586208,20866770.0
2016-06-08,52.02,52.44,51.87,52.04,21149438.0,0.0,1.0,49.792451466037335,50.19446664511722,49.648874616365944,49.81159504599352,21149438.0
2016-06-09,52.0,52.0,51.49,51.62,20305664.0,0.0,1.0,49.77330788608115,49.77330788608115,49.285146597198434,49.40957986691363,20305664.0
2016-06-10,51.05,52.05,51.04,51.48,25833151.0,0.0,1.0,48.86398783816236,49.82116683597161,48.85441604818426,49.27557480722034,25833151.0
2016-06-13,49.58,50.715,49.06,50.14,83217844.0,0.0,1.0,47.45693471138276,48.54333287389626,46.959201632521946,47.99295495015594,83217844.0
2016-06-14,49.9,50.1,49.57,49.83,42577106.0,0.0,1.0,47.76323199068172,47.95466779024357,47.44736292140467,47.69622946083507,42577106.0
2016-06-15,49.78,50.12,49.69,49.69,33757639.0,0.0,1.0,47.64837051094461,47.97381137019975,47.56222440114177,47.56222440114177,33757639.0
2016-06-16,49.52,50.47,49.5068,50.39,31188605.0,0.0,1.0,47.39950397151421,48.30882401943299,47.38686920874312,48.23224969960825,31188605.0
2016-06-17,50.41,50.43,49.82,50.13,45710516.0,0.0,1.0,48.25139327956443,48.27053685952062,47.68665767085698,47.98338316017785,45710516.0
2016-06-20,50.64,50.83,50.03,50.07,35607946.0,0.0,1.0,48.471544449060566,48.65340845864432,47.88766526039692,47.925952420309294,35607946.0
2016-06-21,50.2,51.43,50.16,51.19,34097825.0,0.0,1.0,48.0503856900245,49.227715857329876,48.01209853011212,48.99799289785565,34097825.0
2016-06-22,51.08,51.46,50.9525,50.99,28816848.0,0.0,1.0,48.892703208096634,49.25643122726415,48.77066288587596,48.80655709829381,28816848.0
2016-06-23,51.28,52.06,51.15,51.91,29028833.0,0.0,1.0,49.084139007658486,49.83073862594971,48.95970573794328,49.687161776278316,29028833.0
2016-06-24,49.81,50.94,49.52,49.83,133502985.0,0.0,1.0,47.677085880878884,48.75869814840334,47.39950397151421,47.69622946083507,133502985.0
2016-06-27,49.1,49.1466,48.035,48.43,50576699.0,0.0,1.0,46.99748879243432,47.042093333732225,45.97809315976746,46.356178863902116,50576699.0
2016-06-28,48.92,49.47,48.67,49.44,38140658.0,0.0,1.0,46.82519657282865,47.35164502162374,46.58590182337634,47.322929651689456,38140658.0
2016-06-29,49.91,50.72,49.8,50.54,31304021.0,0.0,1.0,47.77280378065981,48.5481187688853,47.66751409090079,48.37582654927964,31304021.0
2016-06-30,50.72,51.3,50.5,51.17,28527781.0,0.0,1.0,48.5481187688853,49.10328258761467,48.33753938936727,48.978849317899474,28527781.0
2016-07-01,51.13,51.72,51.07,51.16,21400392.0,0.0,1.0,48.9405621579871,49.505297766694554,48.883131418118545,48.96927752792137,21400392.0
2016-07-05,50.83,51.28,50.74,51.17,24806351.0,0.0,1.0,48.65340845864432,49.084139007658486,48.567262348841496,48.978849317899474,24806351.0
2016-07-06,50.78,51.54,50.39,51.38,28167461.0,0.0,1.0,48.60554950875386,49.333005547088895,48.23224969960825,49.179856907439415,28167461.0
2016-07-07,51.42,51.61,51.07,51.38,19585194.0,0.0,1.0,49.21814406735179,49.40000807693554,48.883131418118545,49.179856907439415,19585194.0
2016-07-08,51.73,52.36,51.55,52.3,28391026.0,0.0,1.0,49.51486955667265,50.11789232529248,49.342577337066984,50.06046158542392,28391026.0
2016-07-11,52.5,52.83,52.47,52.59,22269203.0,0.0,1.0,50.251897384985774,50.567766454262824,50.2231820150515,50.338043494788614,22269203.0
2016-07-12,52.94,53.4,52.785,53.21,27317555.0,0.0,1.0,50.67305614402184,51.1133584830141,50.52469339936141,50.93149447343035,27317555.0
2016-07-13,53.56,53.86,53.18,53.51,25356841.0,0.0,1.0,51.26650712266358,51.55366082200636,50.902779103496066,51.21864817277312,25356841.0
2016-07-14,53.84,53.99,53.58,53.74,24545520.0,0.0,1.0,51.53451724205018,51.67809409172156,51.28565070261977,51.43879934226925,24545520.0
2016-07-15,53.95,54.0,53.21,53.7,32024385.0,0.0,1.0,51.6398069318092,51.68766588169966,50.93149447343035,51.400512182356884,32024385.0
2016-07-18,53.7,54.34,53.55,53.96,31433864.0,0.0,1.0,51.400512182356884,52.013106740954804,51.25693533268549,51.649378721787286,31433864.0
2016-07-19,53.71,53.9,52.93,53.09,53336533.0,0.0,1.0,51.410083972334974,51.59194798191873,50.66348435404375,50.81663299369324,53336533.0
2016-07-20,56.15,56.84,55.53,55.91,89893301.0,0.0,1.0,53.745600726989544,54.40605423547794,53.15214974834781,53.51587776751533,89893301.0
2016-07-21,55.98,56.23,55.76,55.8,32776653.0,0.0,1.0,53.582880297361974,53.82217504681429,53.37230091784394,53.41058807775631,32776653.0
2016-07-22,56.08,56.6275,55.78,56.57,32157167.0,0.0,1.0,53.6785981971429,54.20265369844346,53.39144449780012,54.14761590606943,32157167.0
